code,name,gender,country_code,nationality,disciplines,birth_date
1968272,JANSE van RENSBURG Mel,Male,RSA,South Africa,['Sport Climbing'],16.09.2001
1968285,OPETAI Motu,Male,SAM,Samoa,['Rugby Sevens'],20.06.2001
1968300,LEITUFIA Neueli,Male,SAM,Samoa,['Rugby Sevens'],24.10.2001
1968309,KAKIOUEA Winzar,Male,NRU,Nauru,['Athletics'],30.04.2001
1968312,JEE Minhyung,Female,AUS,Australia,['Table Tennis'],5.01.1987
1968316,BATTY Brock,Male,AUS,Australia,['Trampoline Gymnastics'],4.01.2007
1968317,NEDOV Emma,Female,AUS,Australia,['Artistic Gymnastics'],11.03.1996
1968336,SCANLAN Paul,Male,SAM,Samoa,['Rugby Sevens'],9.08.1996
1968375,ASAAD Man,Male,SYR,Syria,['Weightlifting'],20.11.1993
1968381,ONOSAI Steve,Male,SAM,Samoa,['Rugby Sevens'],19.09.2001
1968402,NIULEVAEA Taunuu,Male,SAM,Samoa,['Rugby Sevens'],21.01.2000
1968603,SHEVCHENKO Alexander,Male,KAZ,Kazakhstan,['Tennis'],29.11.2000
1968635,MAIAVA Tom,Male,SAM,Samoa,['Rugby Sevens'],6.03.1999
1968646,BAYANMUNKH Narmandakh,Male,UAE,UA Emirates,['Judo'],11.05.2000
1968686,APELU MALIKO Vaa,Male,SAM,Samoa,['Rugby Sevens'],10.11.1998
1968691,AFA SUA Vaovasa,Male,SAM,Samoa,['Rugby Sevens'],11.10.1991
1968743,TALASH,Female,EOR,Afghanistan,['Breaking'],22.12.2002
1968744,MANSOURI Farzad,Male,EOR,Afghanistan,['Taekwondo'],19.03.2002
1968845,AARTS Laura,Female,NED,Netherlands,['Water Polo'],10.08.1996
1968846,BUIS Sarah,Female,NED,Netherlands,['Water Polo'],20.03.2000
1968847,SEVENICH Vivian,Female,NED,Netherlands,['Water Polo'],28.02.1993
1968848,WOLVES Iris,Female,NED,Netherlands,['Water Polo'],9.05.1994
