athlete_code,name,gender,country_code,nationality,birth_date
1535524,BOLANOS LOPEZ Victor,M,COL,Colombia,1994-09-19
1535609,ABDOLI Samyar,M,IRI,IR Iran,2002-12-25
1535660,SIMWAKA Asimenye,F,MAW,Malawi,1997-08-08
1535693,AL MARZOOQI Omar Abdul Aziz,M,UAE,UA Emirates,2003-03-28
1535729,SERRANO Franco,M,ARG,Argentina,2000-11-22
1535766,KUMEL SAADI,M,IRQ,Iraq,2004-08-19
1535776,JOSEF AL IMAM,M,IRQ,Iraq,2004-07-27
1535804,MUNTADHER ABDULAMEER,M,IRQ,Iraq,2001-10-06
1535805,MUNTADHER MOHAMMED,M,IRQ,Iraq,2001-06-05
1535852,MAEDER Maximilian,M,SGP,Singapore,2006-09-12
1535853,LO Ryan,M,SGP,Singapore,1997-02-26
1535854,SIM En Yi Letitia,F,SGP,Singapore,2003-03-03
1535856,TAN Jonathan Eu Jin,M,SGP,Singapore,2002-03-11
1535858,PEREIRA Veronica Shanti,F,SGP,Singapore,1996-09-20
1535910,ZAID TAHSEEN,M,IRQ,Iraq,2001-01-29
1535913,HUSSEIN AMER,M,IRQ,Iraq,2002-04-28
1535914,ANAK LISES Bertrand Rhodict,M,MAS,Malaysia,2005-05-28
1535916,HUSSEIN LAWEND,M,IRQ,Iraq,2001-01-20
1535918,WONG Guanjie Johnathan,M,MAS,Malaysia,1992-08-23
1535925,MOHAMAD ZUBIR Nur Aisyah,F,MAS,Malaysia,1997-10-04
1535926,MOHAMAD LATIF Nur Shazrin,F,MAS,Malaysia,1998-02-02
1535927,ALI JASIM,M,IRQ,Iraq,2004-01-20
1535928,KARRAR SAAD,M,IRQ,Iraq,2001-03-22
1535929,KARRAR MOHAMMED,M,IRQ,Iraq,2001-01-06
1535930,NIHAD MOHAMMED,M,IRQ,Iraq,2001-01-14
1535959,DOUA Camil,M,MTN,Mauritania,2002-02-23
1535993,CHEW Caroline,F,SGP,Singapore,1992-04-18
1536032,HERNANDEZ FLORES Margarita,F,MEX,Mexico,1985-12-03
1536045,SALIMI Arian,M,IRI,IR Iran,2003-12-16
1536058,BARKHORDARI Mehran,M,IRI,IR Iran,2000-07-26
1536064,NEMATZADEH Mobina,F,IRI,IR Iran,2005-05-17
1536067,KIYANICHANDEH Nahid,F,IRI,IR Iran,1998-08-01
