athlete_code,name,gender,country_code,nationality,birth_date
1540184,CROOKS Jillian Janis Geohagan,F,CAY,Great Britain,2006-06-27
1540190,HARVEY Emma,F,BER,Great Britain,2001-07-23
1540216,HAWLEY Erica,F,BER,Great Britain,1998-05-29
1540226,SMITH Tyler,M,BER,Great Britain,1998-09-26
1540262,ALEXUC CIURARIU Alin,M,ROU,Romania,1990-02-03
1540263,ARNAUT Razvan,M,ROU,Romania,1998-09-28
1540273,ANA Andreea Beatrice,F,ROU,Romania,2000-11-14
1540275,AXENTE Catalina,F,ROU,Romania,1995-10-31
1540278,INCZE Kriszta Tunde,F,ROU,Romania,1996-05-15
1540305,TAZHUDINOV Akhmed,M,BRN,Bahrain,2003-01-25
1540310,ERATI Kaimauri,M,KIR,Kiribati,2004-06-13
