medal_date,medal_code,country_code,team_gender,discipline,event,code_athlete,code_team
2024-08-02,3,AUS,W,Rowing,Women's Pair,1945670,ROWWNOCOX2--AUS01
2024-07-30,3,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,1946231,SWMM4X200MFRAUS01
2024-08-07,1,AUS,M,Cycling Track,Men's Team Pursuit,1940258,CTRMPURTEAM4AUS01
2024-07-27,1,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,1946218,SWMW4X100MFRAUS01
2024-08-01,1,AUS,W,Swimming,Women's 4 x 200m Freestyle Relay,1946218,SWMW4X200MFRAUS01
2024-08-03,3,AUS,Mixed,Swimming,Mixed 4 x 100m Medley Relay,1946218,SWMX4X100MMDAUS01
2024-08-04,2,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946218,SWMW4X100MMDAUS01
2024-08-01,1,AUS,W,Swimming,Women's 4 x 200m Freestyle Relay,1946201,SWMW4X200MFRAUS01
2024-08-10,2,AUS,W,Water Polo,Women,1947514,WPOWTEAM7---AUS01
2024-08-04,2,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946146,SWMW4X100MMDAUS01
2024-08-01,1,AUS,W,Swimming,Women's 4 x 200m Freestyle Relay,1946188,SWMW4X200MFRAUS01
2024-08-04,2,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946174,SWMW4X100MMDAUS01
2024-08-06,3,AUS,M,Cycling Track,Men's Team Sprint,1940263,CTRMSPRTEAM3AUS01
2024-08-11,3,AUS,W,Basketball,Women,1939943,BKBWTEAM5---AUS01
2024-07-27,2,AUS,M,Swimming,Men's 4 x 100m Freestyle Relay,1946179,SWMM4X100MFRAUS01
2024-07-30,3,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,1946179,SWMM4X200MFRAUS01
2024-08-04,2,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946190,SWMW4X100MMDAUS01
2024-08-03,3,AUS,Mixed,Swimming,Mixed 4 x 100m Medley Relay,1946185,SWMX4X100MMDAUS01
2024-08-11,3,AUS,W,Basketball,Women,1939970,BKBWTEAM5---AUS01
