team_code,coaches_codes
BDMXDOUBLES-USA01,
BK3MTEAM3---CHN01,
BK3MTEAM3---FRA01,
BK3MTEAM3---LAT01,
BK3MTEAM3---LTU01,
BK3MTEAM3---NED01,
BK3MTEAM3---POL01,
BK3MTEAM3---SRB01,
BK3MTEAM3---USA01,
BK3WTEAM3---AUS01,
BK3WTEAM3---AZE01,
BK3WTEAM3---CAN01,
BK3WTEAM3---CHN01,
BK3WTEAM3---ESP01,
BK3WTEAM3---FRA01,
BK3WTEAM3---GER01,
BK3WTEAM3---USA01,
BKBMTEAM5---AUS01,"['1940074', '1940088']"
BKBMTEAM5---BRA01,"['1952532', '3430822']"
BKBMTEAM5---CAN01,"['1974756', '1974760']"
BKBMTEAM5---ESP01,"['1958754', '1958763']"
BKBMTEAM5---FRA01,"['1573668', '1573669']"
BKBMTEAM5---GER01,"['1898944', '1898959']"
BKBMTEAM5---GRE01,"['1968531', '1968540']"
BKBMTEAM5---JPN01,"['1901849', '1901850']"
BKBMTEAM5---PUR01,"['1564323', '1564325']"
BKBMTEAM5---SRB01,"['1948431', '1948433']"
BKBMTEAM5---SSD01,"['1973576', '1975398']"
BKBMTEAM5---USA01,"['1954482', '1954484']"
BKBWTEAM5---AUS01,"['1940075', '1940093']"
BKBWTEAM5---BEL01,"['1903833', '1949874']"
BKBWTEAM5---CAN01,"['1974755', '1974766']"
BKBWTEAM5---CHN01,"['1901805', '1901818']"
BKBWTEAM5---ESP01,"['1958756', '1958758']"
BKBWTEAM5---FRA01,"['1573466', '1573467']"
BKBWTEAM5---GER01,"['1898950', '1898951']"
BKBWTEAM5---JPN01,"['1901836', '1901839']"
BKBWTEAM5---NGR01,"['1935326', '1986732']"
BKBWTEAM5---PUR01,"['1550039', '1550047']"
BKBWTEAM5---SRB01,"['1948750', '1948752']"
BKBWTEAM5---USA01,"['1954501', '1954503']"
CSPMC2-500M-AIN01,
CSPMC2-500M-ANG01,
CSPMC2-500M-BRA01,
CSPMC2-500M-CHN01,
CSPMC2-500M-CZE01,
CSPMC2-500M-ESP01,
CSPMC2-500M-FRA01,
CSPMC2-500M-GER01,
CSPMC2-500M-HUN01,
CSPMC2-500M-ITA01,
CSPMC2-500M-KAZ01,
CSPMC2-500M-NZL01,
CSPMC2-500M-ROU01,
CSPMK2-500M-AUS01,
CSPMK2-500M-CAN01,
CSPMK2-500M-CHN01,
CSPMK2-500M-CZE01,
CSPMK2-500M-ESP01,
CSPMK2-500M-ESP02,
CSPMK2-500M-GER01,
CSPMK2-500M-GER02,
CSPMK2-500M-HUN01,
CSPMK2-500M-HUN02,
CSPMK2-500M-KAZ01,
CSPMK2-500M-LTU01,
CSPMK2-500M-NZL01,
CSPMK2-500M-POL01,
CSPMK2-500M-POR01,
CSPMK2-500M-RSA01,
CSPMK2-500M-SRB01,
CSPMK2-500M-SRB02,
CSPMK2-500M-UKR01,
CSPMK2-500M-USA01,
CSPMK4-500M-AUS01,
CSPMK4-500M-CAN01,
CSPMK4-500M-CHN01,
CSPMK4-500M-DEN01,
CSPMK4-500M-ESP01,
CSPMK4-500M-GER01,
CSPMK4-500M-HUN01,
CSPMK4-500M-LTU01,
CSPMK4-500M-NZL01,
CSPMK4-500M-SRB01,
CSPMK4-500M-UKR01,
CSPWC2-500M-CAN01,
CSPWC2-500M-CHI01,
CSPWC2-500M-CHN01,
CSPWC2-500M-CUB01,
CSPWC2-500M-ESP01,
CSPWC2-500M-FRA01,
CSPWC2-500M-GER01,
CSPWC2-500M-HUN01,
CSPWC2-500M-KAZ01,
CSPWC2-500M-MDA01,
CSPWC2-500M-NGR01,
CSPWC2-500M-POL01,
CSPWC2-500M-UKR01,
CSPWK2-500M-AUS01,
CSPWK2-500M-BEL01,
CSPWK2-500M-CAN01,
CSPWK2-500M-CHN01,
CSPWK2-500M-DEN01,
CSPWK2-500M-ESP01,
CSPWK2-500M-FRA01,
CSPWK2-500M-GER01,
CSPWK2-500M-GER02,
