athlete_code,name,gender,country_code,nationality,disciplines,birth_date
1906424,FONTANI Hugo,M,FRA,France,['Water Polo'],22.12.1994
1906430,KHASZ Enzo,M,FRA,France,['Water Polo'],13.08.1993
1906434,MARZOUKI Mehdi,M,FRA,France,['Water Polo'],26.05.1987
1906435,MARION VERNOUX Romain,M,FRA,France,['Water Polo'],2.01.2000
1906438,NARDON Enzo,M,FRA,France,['Water Polo'],6.01.2003
1906442,SAUDADIER Remi,M,FRA,France,['Water Polo'],20.03.1986
1906443,VANPEPERSTRAETE Pierre-Frederic,M,FRA,France,['Water Polo'],14.05.1992
1906444,VERNOUX Thomas,M,FRA,France,['Water Polo'],21.03.2002
1906477,APPEL Max,M,GER,Germany,['Rowing'],19.03.1996
1906480,FINGER Anton,M,GER,Germany,['Rowing'],1.08.1998
1906481,FOLLERT Laurits,M,GER,Germany,['Rowing'],10.04.1996
1906483,GREITEN Pia,F,GER,Germany,['Rowing'],18.02.1997
1906488,JOHANNESEN Torben,M,GER,Germany,['Rowing'],21.09.1994
1906489,JOHN Max,M,GER,Germany,['Rowing'],1.07.1997
1906491,KRUSE Soenke,M,GER,Germany,['Rowing'],15.09.2000
1906494,MENZEL Leonie,F,GER,Germany,['Rowing'],19.05.1999
1906496,NASKE Tim-Ole,M,GER,Germany,['Rowing'],26.04.1996
1906503,ROGGENSACK Olaf,M,GER,Germany,['Rowing'],29.05.1997
1906506,SCHENDEKEHL Tabea,F,GER,Germany,['Rowing'],29.11.1998
1906508,SCHOENHERR Mattes,M,GER,Germany,['Rowing'],1.05.2000
1906509,SCHROEDER Wolf-Niclas,M,GER,Germany,['Rowing'],6.09.1996
1906511,VOELZ Maren,F,GER,Germany,['Rowing'],20.11.1999
1906512,WEBER Marc,M,GER,Germany,['Rowing'],5.09.1997
1906513,WIESEN Jonas,M,GER,Germany,['Rowing'],18.07.1996
1906514,WOLFF Moritz,M,GER,Germany,['Rowing'],18.01.2000
1906515,ZEIDLER Oliver,M,GER,Germany,['Rowing'],24.07.1996
1906519,FOESTER Alexandra,F,GER,Germany,['Rowing'],13.01.2002
1906531,CHRIST Julius,M,GER,Germany,['Rowing'],16.02.1999
1906534,BREUER Frederik,M,GER,Germany,['Rowing'],26.02.2002
1906539,GELSEN Jonas,M,GER,Germany,['Rowing'],4.09.2001
1906541,EGGELING Benedict,M,GER,Germany,['Rowing'],16.02.1999
1906584,NENGANGA Vilma,F,ANG,Angola,['Handball'],12.09.1996
1906697,PEINADO Robeilys,F,VEN,Venezuela,['Athletics'],26.11.1997
1906698,PADAR Nikolett,F,HUN,Hungary,['Swimming'],30.03.2006
1906702,GORSA Petar,M,CRO,Croatia,['Shooting'],11.01.1988
1906704,MACHADO Juliana,F,ANG,Angola,['Handball'],6.11.1994
1906713,TORREALBA Leodan,M,VEN,Venezuela,['Athletics'],26.12.1996
1906723,BOURHIS Yves,M,SEN,Senegal,['Canoe Slalom'],16.03.1998
1907141,BREA Joselyn Daniely,F,VEN,Venezuela,['Athletics'],12.08.1994
1907169,WELLBROCK Florian,M,GER,Germany,"['Marathon Swimming', 'Swimming']",19.08.1997
1907171,GOSE Isabel,F,GER,Germany,['Swimming'],9.05.2002
1907174,MROZINSKI Julia,F,GER,Germany,['Swimming'],16.02.2000
1907175,RIEDEMANN Laura,F,GER,Germany,['Swimming'],29.05.1998
1907178,ULRICH Marek,M,GER,Germany,['Swimming'],12.01.1997
1907179,ARMBRUSTER Luca,M,GER,Germany,['Swimming'],5.11.2001
1907183,KOEHLER Angelina,F,GER,Germany,['Swimming'],12.11.2000
1907184,MIROSLAW Rafael,M,GER,Germany,['Swimming'],25.03.2001
1907186,SALCHOW Josha,M,GER,Germany,['Swimming'],2.07.1999
1907187,SCHWARZ Sven,M,GER,Germany,['Swimming'],31.01.2002
1907190,ELENDT Anna,F,GER,Germany,['Swimming'],4.09.2001
1907192,MAERTENS Lukas,M,GER,Germany,['Swimming'],27.12.2001
1907193,MATZERATH Lucas,M,GER,Germany,['Swimming'],3.05.2000
1907194,SORGIUS Timo,M,GER,Germany,['Swimming'],5.07.2003
1907196,BECK Leonie,F,GER,Germany,['Marathon Swimming'],27.05.1997
