start_date,end_date,status,phase,gender,venue,event_code,url
2024-07-25 21:00:00,2024-07-25 22:45:00,FINISHED,Women's Group B,W,Nice Stadium,160,/en/paris-2024/results/football/women/gpb-000100--
2024-07-25 21:00:00,2024-07-25 22:30:00,FINISHED,Women's Preliminary Round Group A,W,South Paris Arena 6,164,/en/paris-2024/results/handball/women/gpa-000300--
2024-07-25 21:00:00,2024-07-25 21:16:00,FINISHED,Men's Quarter-finals,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/qfnl000100--
2024-07-25 21:30:00,2024-07-25 21:46:00,FINISHED,Men's Quarter-finals,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/qfnl000200--
2024-07-25 22:00:00,2024-07-25 22:16:00,FINISHED,Men's Quarter-finals,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/qfnl000300--
2024-07-25 22:30:00,2024-07-25 22:46:00,FINISHED,Men's Quarter-finals,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/qfnl000400--
2024-07-26 09:00:00,2024-07-26 09:30:00,FINISHED,10m Air Rifle Mixed Team Training,X,Chateauroux Shooting Ctr,226,
2024-07-26 10:00:00,2024-07-26 11:15:00,FINISHED,10m Air Pistol Men's Training,M,Chateauroux Shooting Ctr,216,
2024-07-26 11:45:00,2024-07-26 13:00:00,FINISHED,10m Air Pistol Women Training,W,Chateauroux Shooting Ctr,222,
2024-07-27 08:30:00,2024-07-27 09:10:00,FINISHED,Mixed Doubles Group Play Stage - Grp D,X,La Chapelle Arena,73,/en/paris-2024/results/badminton/mixed-doubles/gpd-000600--
2024-07-27 08:30:00,2024-07-27 09:10:00,FINISHED,Women's Singles Group Play Stage - Grp N,W,La Chapelle Arena,70,/en/paris-2024/results/badminton/women-s-singles/gpn-000300--
2024-07-27 08:30:00,2024-07-27 09:10:00,FINISHED,Mixed Doubles Group Play Stage - Grp B,X,La Chapelle Arena,73,/en/paris-2024/results/badminton/mixed-doubles/gpb-000300--
2024-07-27 09:00:00,2024-07-27 10:30:00,FINISHED,Men's Preliminary Round Group A,M,South Paris Arena 6,163,/en/paris-2024/results/handball/men/gpa-000100--
2024-07-27 09:00:00,2024-07-27 10:07:00,FINISHED,Men's Single Sculls Heats,M,Nautical St - Flat water,195,/en/paris-2024/results/rowing/men-s-single-sculls/heat--------
